callid,CompanyNo,ServiceStatus,ServiceType,ServiceLevel,Severity,ItemOEM,ItemModel,ItemAssetType
29005,CR00145-01,E,Hardware,T/M,High,IMAC,LABOR,IMAC
29008,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29011,CR01400,E,Hardware,T/M,High,DELL,R710,Server
29015,C01872,E,Hardware,T/M,Medium,HP,DL320E G8,Server
29017,CR00145-01,E,Hardware,T/M,Medium,APC,SURT6000RMXLT3U,UPS
29018,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7978-B4U,Server
29020,CR00654,C,Hardware,HW-Basic ,Medium,DELL,T610,Server
29023,C01841,C,Hardware,HW-Premium ,High,DELL,PE 2950,Server
29025,C00510,C,Hardware,HW-Basic ,Medium,DELL,P490,Workstation
29025,C00510,C,Hardware,HW-Basic ,Medium,DELL,P490,Workstation
29025,C00510,C,Hardware,HW-Basic ,Medium,DELL,P490,Workstation
29027,CR00145-01,E,Hardware,T/M,High,IMAC,LABOR,IMAC
29027,CR00145-01,E,Hardware,T/M,High,IMAC,LABOR,IMAC
29029,CR01400,E,Hardware,T/M,Medium,DELL,R720,Server
29035,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29037,CR00145-01,E,Hardware,T/M,IMAC,IMAC,LABOR,IMAC
29038,C01841,C,Hardware,HW-Premium ,Medium,HP,DL380 G6,Server
29043,CR00654,C,Hardware,HW-Premium ,Medium,HP,DL380,Server
29055,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29055,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29055,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29064,CR00145-01,C,Hardware,HW-Premium ,Critical,IBM,2072-L2C,Storage
29064,CR00145-01,C,Hardware,HW-Premium ,Critical,IBM,2072-L2C,Storage
29065,C01872,C,Hardware,HW-Premium8Hr,High,DELL,MD1200,Storage
29065,C01872,C,Hardware,HW-Premium8Hr,High,DELL,MD1200,Storage
29065,C01872,C,Hardware,HW-Premium8Hr,High,DELL,MD1200,Storage
29066,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7947-AC1,Server
29067,C01872,C,Hardware,T/M,Medium,IBM,3542-2RU,Storage
29068,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29068,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29069,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29069,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29071,CR00654,C,Hardware,HW-OS-Premium,High,IBM,3584-L53,Storage
29076,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29077,CR00145-01,E,Hardware,T/M,Medium,IBM,7944-AC1,Server
29078,CR00145-01,E,Hardware,T/M,Medium,IBM,7914-AC1,Server
29078,CR00145-01,E,Hardware,T/M,Medium,IBM,7914-AC1,Server
29079,CR00145-01,C,Hardware,HW-Basic ,Medium,IBM,7947-AC1,Server
29080,C00510,C,Hardware,HW-Basic ,Medium,DELL,OP 3010,Workstation
29080,C00510,C,Hardware,HW-Basic ,Medium,DELL,OP 3010,Workstation
29080,C00510,C,Hardware,HW-Basic ,Medium,DELL,OP 3010,Workstation
29081,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R620,Server
29081,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R620,Server
29081,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R620,Server
29082,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R620,Server
29082,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R620,Server
29083,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29087,CR00145-01,C,Hardware,T/M,IMAC,IMAC,LABOR,IMAC
29088,CR00145-01,C,Hardware,T/M,IMAC,IMAC,LABOR,IMAC
29089,C00163-01,C,Hardware,HW-Premium ,Medium,Hitachi,AMS 2500,Storage
29089,C00163-01,C,Hardware,HW-Premium ,Medium,Hitachi,AMS 2500,Storage
29089,C00163-01,C,Hardware,HW-Premium ,Medium,Hitachi,AMS 2500,Storage
29090,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7978-51U,Server
29090,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7978-51U,Server
29091,C00208,C,Hardware,HW-Premium ,Medium,HP,DL380 G8,Server
29092,C00163-01,E,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29092,C00163-01,E,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29093,C00163-01,E,Hardware,T/M,Medium,Hitachi,AMS 2500,Storage
29093,C00163-01,E,Hardware,T/M,Medium,Hitachi,AMS 2500,Storage
29096,CR00145-01,C,Hardware,T/M,IMAC,IMAC,LABOR,IMAC
29097,CR00145-01,C,Hardware,T/M,Medium,CISCO,3750,Switch
29098,CR00145-01,E,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29100,CR00654,C,Hardware,HW-Premium ,Medium,HP,DL385 G8,Server
29101,CR00944,C,Hardware,HW-Basic ,Medium,EMC,CX3-20,Storage
29102,CR01743,E,Hardware,T/M,Medium,DELL,T5610,Workstation
29103,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,8837-45U,Server
29104,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,1727-HC1,Storage
29104,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,1727-HC1,Storage
29104,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,1727-HC1,Storage
29104,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,1727-HC1,Storage
29104,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,1727-HC1,Storage
29105,CR00145-01,C,Hardware,T/M,IMAC,IMAC,LABOR,IMAC
29106,CR00145-01,C,Hardware,T/M,IMAC,IMAC,LABOR,IMAC
29107,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29109,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29109,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29109,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29109,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29109,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29109,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29109,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29109,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29109,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29109,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29109,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29109,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29110,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29110,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29110,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29110,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29110,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29110,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29110,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29110,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29111,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29111,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29111,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29111,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29111,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29111,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29111,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29111,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29111,CR00145-01,C,Hardware,T/M,High,IBM,7978-AC1,Server
29112,CR00145-01,E,Hardware,HW-Premium ,High,IBM,1727-HC1,Storage
29112,CR00145-01,E,Hardware,HW-Premium ,High,IBM,1727-HC1,Storage
29112,CR00145-01,E,Hardware,HW-Premium ,High,IBM,1727-HC1,Storage
29112,CR00145-01,E,Hardware,HW-Premium ,High,IBM,1727-HC1,Storage
29112,CR00145-01,E,Hardware,HW-Premium ,High,IBM,1727-HC1,Storage
29112,CR00145-01,E,Hardware,HW-Premium ,High,IBM,1727-HC1,Storage
29112,CR00145-01,E,Hardware,HW-Premium ,High,IBM,1727-HC1,Storage
29112,CR00145-01,E,Hardware,HW-Premium ,High,IBM,1727-HC1,Storage
29112,CR00145-01,E,Hardware,HW-Premium ,High,IBM,1727-HC1,Storage
29112,CR00145-01,E,Hardware,HW-Premium ,High,IBM,1727-HC1,Storage
29112,CR00145-01,E,Hardware,HW-Premium ,High,IBM,1727-HC1,Storage
29112,CR00145-01,E,Hardware,HW-Premium ,High,IBM,1727-HC1,Storage
29112,CR00145-01,E,Hardware,HW-Premium ,High,IBM,1727-HC1,Storage
29112,CR00145-01,E,Hardware,HW-Premium ,High,IBM,1727-HC1,Storage
29113,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7914-B2U,Server
29113,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7914-B2U,Server
29114,CR00145,E,Hardware,T/M,Medium,DELL,R720,Server
29115,CR01743,C,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29116,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R710,Server
29117,C01872,E,Hardware,HW-Premium8Hr,Medium,DELL,R620,Server
29117,C01872,E,Hardware,HW-Premium8Hr,Medium,DELL,R620,Server
29118,CR00145-01,E,Hardware,HW-Premium ,Medium,IBM,2076-112,Storage
29119,C01872,E,Hardware,T/M,High,DELL,PE 2950,Server
29120,C01872,E,Hardware,HW-Premium8Hr,Medium,DELL,R710,Server
29121,C00163-01,E,Hardware,HW-Basic ,Medium,DELL,R720,Server
29122,CR00145-01,C,Hardware,HW-Premium ,Medium,EMC,CX700,Storage
29125,CR00654,C,Hardware,T/M,Medium,HP,Ultrium 3,Storage
29126,CR00145-01,E,Hardware,T/M,Medium,IBM,8837-45U,Server
29127,CR00145-01,C,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29128,C00163-01,C,Hardware,HW-Premium ,High,DELL,T5500,Workstation
29129,Cr00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29129,Cr00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29130,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,1727-HC1,Storage
29131,C00317,C,Hardware,HW-Enhanced,Medium,HP,C4120A,Printer
29131,C00317,C,Hardware,HW-Enhanced,Medium,HP,C4120A,Printer
29131,C00317,C,Hardware,HW-Enhanced,Medium,HP,C4120A,Printer
29132,C00163-01,C,Hardware,HW-Premium ,Medium,HP,Z400,Workstation
29133,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29134,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R710,Server
29134,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R710,Server
29135,CR00654,C,Hardware,HW-OS-Premium,Critical,IBM,3584-L53,Storage
29135,CR00654,C,Hardware,HW-OS-Premium,Critical,IBM,3584-L53,Storage
29135,CR00654,C,Hardware,HW-OS-Premium,Critical,IBM,3584-L53,Storage
29135,CR00654,C,Hardware,HW-OS-Premium,Critical,IBM,3584-L53,Storage
29135,CR00654,C,Hardware,HW-OS-Premium,Critical,IBM,3584-L53,Storage
29135,CR00654,C,Hardware,HW-OS-Premium,Critical,IBM,3584-L53,Storage
29135,CR00654,C,Hardware,HW-OS-Premium,Critical,IBM,3584-L53,Storage
29135,CR00654,C,Hardware,HW-OS-Premium,Critical,IBM,3584-L53,Storage
29135,CR00654,C,Hardware,HW-OS-Premium,Critical,IBM,3584-L53,Storage
29135,CR00654,C,Hardware,HW-OS-Premium,Critical,IBM,3584-L53,Storage
29135,CR00654,C,Hardware,HW-OS-Premium,Critical,IBM,3584-L53,Storage
29136,CR00145-01,E,Hardware,T/M,Medium,EMC,CX300,Storage
29136,CR00145-01,E,Hardware,T/M,Medium,EMC,CX300,Storage
29137,CR00145-01,E,Hardware,T/M,Medium,EMC,CX300,Storage
29138,C00510,C,Hardware,HW-Basic ,Medium,DELL,P690,Workstation
29138,C00510,C,Hardware,HW-Basic ,Medium,DELL,P690,Workstation
29139,CR00654,C,Hardware,HW-Premium ,Critical,HP,DL380 G5,Server
29139,CR00654,C,Hardware,HW-Premium ,Critical,HP,DL380 G5,Server
29140,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7945-D2U,Server
29141,Cr00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29142,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,2076-212,Storage
29143,C01476,C,Hardware,HW-Premium ,Medium,EMC,CX4-240,Storage
29144,C01476,C,Hardware,HW-Premium ,Medium,EMC,CX4-480,Storage
29145,C00510,C,Hardware,HW-Basic ,Medium,HP,5200TN,Printer
29145,C00510,C,Hardware,HW-Basic ,Medium,HP,5200TN,Printer
29147,C00163-01,E,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29147,C00163-01,E,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29150,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29151,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29152,CR00145-01,C,Hardware,T/M,Medium,IBM,1727-HC1,Storage
29157,CR00145-01,C,Hardware,T/M,Medium,CISCO,3750x,Switch
29158,CR00145-01,E,Hardware,T/M,Medium,IBM,7944-AC1,Server
29158,CR00145-01,E,Hardware,T/M,Medium,IBM,7944-AC1,Server
29159,C01872,E,Hardware,T/M,Medium,DELL,R710,Server
29159,C01872,E,Hardware,T/M,Medium,DELL,R710,Server
29160,C01872,E,Hardware,T/M,Medium,DELL,R710,Server
29160,C01872,E,Hardware,T/M,Medium,DELL,R710,Server
29161,C01872,E,Hardware,T/M,Medium,DELL,R710,Server
29161,C01872,E,Hardware,T/M,Medium,DELL,R710,Server
29162,CR00145-01,E,Hardware,T/M,Medium,IBM,7914-AC1,Server
29162,CR00145-01,E,Hardware,T/M,Medium,IBM,7914-AC1,Server
29163,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29164,CR00145-01,E,Hardware,T/M,Medium,DELL,PS6500E,Storage
29164,CR00145-01,E,Hardware,T/M,Medium,DELL,PS6500E,Storage
29164,CR00145-01,E,Hardware,T/M,Medium,DELL,PS6500E,Storage
29165,CR00145-01,E,Hardware,T/M,Medium,HP,RP5470,Server
29166,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R710,Server
29168,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29168,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29168,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29168,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29168,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29168,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29168,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29169,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29169,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29170,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29170,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29171,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29172,C00163-01,C,Hardware,HW-Premium ,Medium,DELL,R710,Server
29173,C00163-01,C,Hardware,HW-Premium ,Medium,DELL,R710,Server
29174,CR00565,C,Hardware,HW-Premium ,High,DELL,R520,Server
29175,C01872,E,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29175,C01872,E,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29175,C01872,E,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29177,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29177,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29179,C01872,C,Hardware,HW-Premium8Hr,High,DELL,MD1200,Storage
29180,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R710,Server
29181,CR00145,E,Hardware,T/M,Medium,DELL,T3600,Workstation
29181,CR00145,E,Hardware,T/M,Medium,DELL,T3600,Workstation
29181,CR00145,E,Hardware,T/M,Medium,DELL,T3600,Workstation
29181,CR00145,E,Hardware,T/M,Medium,DELL,T3600,Workstation
29182,CR00145-01,E,Hardware,T/M,Medium,DELL,PS6500E,Storage
29183,CR01669,C,Hardware,HW-Premium ,Medium,HP,DL380R05,Server
29184,CR01669,C,Hardware,HW-Premium ,Medium,HP,DL580 G7,Server
29185,CR01669,C,Hardware,HW-Premium ,Medium,HP,DL385 G6,Server
29186,CR01743,C,Hardware,T/M,Medium,DELL,R710,Server
29186,CR01743,C,Hardware,T/M,Medium,DELL,R710,Server
29187,C00208,C,Hardware,HW-Enhanced,Medium,HP,DL380 G5,Server
29188,C01872,C,Hardware,HW-Premium8Hr,Medium,SUN,X4150,Server
29188,C01872,C,Hardware,HW-Premium8Hr,Medium,SUN,X4150,Server
29188,C01872,C,Hardware,HW-Premium8Hr,Medium,SUN,X4150,Server
29189,C01872,C,Hardware,T/M,Medium,IBM,8408-E8D,Server
29190,CR00145-01,E,Hardware,T/M,IMAC,IMAC,LABOR,IMAC
29191,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R710,Server
29191,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R710,Server
29192,C00510,C,Hardware,HW-Basic ,Error,DELL,T7400,Workstation
29193,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R710,Server
29193,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R710,Server
29194,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R710,Server
29195,C01872,C,Hardware,HW-Premium8Hr,High,IBM,8202-E4B,Server
29196,CR00145-01,C,Hardware,HW-Basic ,Medium,IBM,7944-AC1,Server
29197,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7978-AC1,Server
29198,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R710,Server
29198,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R710,Server
29199,CR01743,C,Hardware,T/M,Medium,DELL,P490,Workstation
29200,C01872,C,Hardware,T/M,Medium,DELL,PS6110,Storage
29200,C01872,C,Hardware,T/M,Medium,DELL,PS6110,Storage
29201,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7914-AC1,Server
29201,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7914-AC1,Server
29201,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7914-AC1,Server
29201,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7914-AC1,Server
29202,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29205,C01841,E,Hardware,T/M,Medium,DELL,R710,Server
29206,C00163-01,E,Hardware,T/M,Medium,DELL,R710,Server
29207,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7377-AC1,Storage
29208,CR00944,C,Hardware,HW-Basic ,Medium,EMC,CX3-20,Storage
29208,CR00944,C,Hardware,HW-Basic ,Medium,EMC,CX3-20,Storage
29209,C01872,C,Hardware,HW-Premium8Hr,Medium,IBM,8205-E6C,Server
29210,CR01743,C,Hardware,T/M,Medium,DELL,R730,Server
29211,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29212,CR00145-01,E,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29214,CR00145-01,E,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29217,CR00145-01,E,Hardware,T/M,IMAC,IMAC,LABOR,IMAC
29218,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R720,Server
29219,CR00654,C,Hardware,HW-Premium ,Critical,HP,DL380 G8,Server
29220,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7944-D2U,Server
29220,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7944-D2U,Server
29220,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7944-D2U,Server
29222,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29223,C01841,C,Hardware,HW-Premium ,Critical,HP,DL380 G5,Server
29224,CR00654,C,Hardware,HW-Premium ,High,HP,DL380,Server
29226,C01872,C,Hardware,HW-Premium8Hr,High,DELL,MD1200,Storage
29226,C01872,C,Hardware,HW-Premium8Hr,High,DELL,MD1200,Storage
29227,C01872,C,Hardware,HW-Premium8Hr,High,DELL,MD1200,Storage
29229,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7978-AC1,Server
29229,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7978-AC1,Server
29230,C01872,E,Hardware,T/M,Medium,DELL,R620,Server
29231,CR00145-01,C,Hardware,T/M,IMAC,IMAC,LABOR,IMAC
29232,CR00654,C,Hardware,HW-Basic ,Medium,DELL,PE 2900,Server
29234,CR00145-01,E,Hardware,T/M,High,IMAC,LABOR,IMAC
29235,CR00145,C,Hardware,HW-Basic ,Medium,DELL,T5500,Workstation
29236,C00163-01,C,Hardware,HW-Premium ,High,DELL,T5500,Workstation
29237,CR00145-01,C,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29238,CR00145-01,E,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29238,CR00145-01,E,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29239,C01872,C,Hardware,T/M,Medium,DELL,PS-M4110,Storage
29240,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29242,CR01669,C,Hardware,HW-Premium ,Medium,HP,D3700,Storage
29243,C00163-01,C,Hardware,T/M,Medium,HP,MSA P200 G3,Storage
29244,C01872,E,Hardware,T/M,Medium,DELL,MD1200,Storage
29245,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,R710,Server
29246,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29248,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7377-C2U,Server
29249,C01872,C,Hardware,HW-Premium8Hr,High,DELL,MD1200,Storage
29250,C01872,C,Hardware,HW-Premium8Hr,High,DELL,MD1200,Storage
29251,C01872,C,Hardware,HW-Premium8Hr,High,DELL,MD1200,Storage
29252,CR00107,C,Hardware,HW-Basic ,Medium,HP,RP5400,Server
29253,C00208,C,Hardware,HW-Premium ,Medium,HP,DL380 G8,Server
29255,C01872,C,Hardware,T/M,Medium,IBM,7143-AC1,Server
29255,C01872,C,Hardware,T/M,Medium,IBM,7143-AC1,Server
29256,CR00654,C,Hardware,HW-Premium ,Medium,DELL,PE 2900,Server
29256,CR00654,C,Hardware,HW-Premium ,Medium,DELL,PE 2900,Server
29257,C01841,C,Hardware,HW-Premium ,Critical,EMC,AX4-5F,Storage
29259,CR01743,E,Hardware,T/M,Critical,DELL,R720,Server
29259,CR01743,E,Hardware,T/M,Critical,DELL,R720,Server
29260,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29261,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7945-D2U,Server
29264,C01872,C,Hardware,HW-Premium8Hr,High,DELL,MD1200,Storage
29264,C01872,C,Hardware,HW-Premium8Hr,High,DELL,MD1200,Storage
29265,C01872,C,Hardware,HW-Premium8Hr,Medium,DELL,MD1200,Storage
29266,CR00654,C,Hardware,HW-Premium ,Medium,DELL,PE 2950,Server
29267,C00163-01,C,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29267,C00163-01,C,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29271,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29272,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7914-B2U,Server
29272,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7914-B2U,Server
29273,C01476,C,Hardware,HW-Premium ,Medium,EMC,CX4-480,Storage
29273,C01476,C,Hardware,HW-Premium ,Medium,EMC,CX4-480,Storage
29276,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7946-AC1,Server
29278,CR00145,C,Hardware,T/M,Medium,DELL,T3500,Workstation
29281,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R610,Server
29281,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R610,Server
29281,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R610,Server
29281,C01872,C,Hardware,HW-Premium8Hr,High,DELL,R610,Server
29282,C01872,E,Hardware,T/M,High,DELL,MD1200,Storage
29282,C01872,E,Hardware,T/M,High,DELL,MD1200,Storage
29283,CR01743,C,Hardware,T/M,Medium,DELL,R720,Server
29284,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7946-52U,Server
29284,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7946-52U,Server
29285,CR00145-01,C,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29285,CR00145-01,C,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29285,CR00145-01,C,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29285,CR00145-01,C,Hardware,T/M,Medium,IMAC,LABOR,IMAC
29286,CR00145,C,Hardware,HW-Basic ,Medium,DELL,T5500,Workstation
29286,CR00145,C,Hardware,HW-Basic ,Medium,DELL,T5500,Workstation
29286,CR00145,C,Hardware,HW-Basic ,Medium,DELL,T5500,Workstation
29287,CR00654,E,Hardware,HW-Basic ,Medium,DELL,PE 2900,Server
29289,C00163-01,C,Hardware,T/M,Medium,EMC,,Storage
29290,C00510,C,Hardware,HW-Basic ,Medium,DELL,P490,Workstation
29290,C00510,C,Hardware,HW-Basic ,Medium,DELL,P490,Workstation
29291,C01872,C,Hardware,HW-Premium8Hr,Medium,SUN,ULTRA10-S10,Workstation
29292,C01872,C,Hardware,HW-Premium8Hr,Medium,HP,DL320E G8,Server
29294,C00163-01,C,Hardware,T/M,Medium,Hitachi,AMS 2100,Storage
29295,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7945-AC1,Server
29296,C01872,E,Hardware,T/M,Medium,DELL,R620,Server
29296,C01872,E,Hardware,T/M,Medium,DELL,R620,Server
29297,C01872,E,Hardware,T/M,Medium,DELL,R620,Server
29297,C01872,E,Hardware,T/M,Medium,DELL,R620,Server
29298,C01872,C,Hardware,T/M,Medium,DELL,R620,Server
29299,CR00145-01,E,Hardware,T/M,IMAC,IMAC,LABOR,IMAC
29302,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7946-AC1,Server
29303,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7946-AC1,Server
29305,CR00654,C,Hardware,HW-Premium ,Medium,HP,ML350,Server
29306,CR00145-01,C,Hardware,T/M,Medium,IBM,7947-AC1,Server
29307,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29310,C01872,E,Hardware,T/M,High,DELL,MD1200,Storage
29310,C01872,E,Hardware,T/M,High,DELL,MD1200,Storage
29311,C01872,E,Hardware,HW-Premium8Hr,High,DELL,MD1200,Storage
29312,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7914-AC1,Server
